('default', [[2, 6], [10, 8], [7, 6], [9, 6], [11, 11], [4, 3], [5, 9], [1, 9], [0, 9], [6, 12], [3, 8], [8, 9], [7, -1], [5, -5], [6, 5], [4, -1], [2, -4], [0, 5], [1, 0], [3, 1]], 49.842999935150146)
[8.98, 'move', [4, -54, 24], [-58, 0, 11], [10, 24, 53]]
[9.00, 'move', [4, -54, 24], [-59, -3, 2], [0, 24, 54]]
[9.05, 'turn', 'R3']
[9.20, 'turn', 'D3']
[9.33, 'turn', 'R3']
[9.69, 'turn', 'R3']
[10.00, 'move', [4, -58, 14], [-59, -3, 2], [0, 14, 58]]
[10.02, 'move', [4, -59, 4], [-59, -3, 2], [1, 4, 59]]
[10.05, 'move', [3, -59, -6], [-59, -3, 2], [2, -6, 59]]
[10.08, 'move', [3, -57, -16], [-59, -3, 2], [3, -16, 57]]
[10.09, 'move', [2, -53, -26], [-59, -3, 2], [3, -26, 53]]
[10.13, 'move', [1, -48, -35], [-59, -3, 2], [3, -35, 48]]
[10.16, 'move', [1, -41, -43], [-59, -3, 2], [4, -43, 41]]
[10.17, 'move', [0, -33, -49], [-59, -3, 2], [4, -49, 33]]
[10.20, 'move', [0, -24, -54], [-59, -3, 2], [4, -54, 24]]
[10.22, 'move', [0, -14, -58], [-59, -3, 2], [4, -58, 14]]
[10.25, 'move', [-1, -4, -59], [-59, -3, 2], [4, -59, 4]]
[10.28, 'move', [-2, 6, -59], [-59, -3, 2], [3, -59, -6]]
[10.30, 'move', [-3, 16, -57], [-59, -3, 2], [3, -57, -16]]
[10.33, 'move', [-3, 26, -53], [-59, -3, 2], [2, -53, -26]]
[10.36, 'move', [-3, 35, -48], [-59, -3, 2], [1, -48, -35]]
[10.38, 'move', [-4, 43, -41], [-59, -3, 2], [1, -41, -43]]
[10.41, 'move', [-4, 43, -41], [-58, -11, -5], [11, -40, -42]]
