('default', [[2, 11], [9, 6], [7, 7], [6, 8], [0, 11], [5, 9], [4, 12], [1, 16], [11, 11], [10, 7], [3, 11], [8, 9], [6, 2], [7, 2], [1, 6], [2, 2], [3, -4], [4, -1], [5, -3], [0, 5]], 36.359999895095825)
[6.63, 'move', [-39, -4, -45], [-45, -3, 39], [5, -59, 1]]
[6.66, 'move', [-46, -5, -37], [-37, -2, 46], [5, -59, 1]]
[6.83, 'move', [-46, -5, -37], [-37, 8, 45], [-1, -59, 9]]
[6.84, 'move', [-46, -5, -37], [-37, 18, 43], [-7, -56, 17]]
[7.19, 'move', [-52, -1, -29], [-28, 18, 49], [-7, -56, 17]]
[7.20, 'move', [-56, 1, -20], [-19, 19, 53], [-7, -56, 17]]
[7.23, 'move', [-58, 4, -10], [-8, 18, 56], [-7, -56, 17]]
[7.27, 'move', [-59, 7, 0], [1, 17, 57], [-7, -56, 17]]
[7.53, 'move', [-58, 4, -10], [-8, 18, 56], [-7, -56, 17]]
[7.56, 'move', [-56, 1, -20], [-19, 19, 53], [-7, -56, 17]]
[7.58, 'move', [-52, -1, -29], [-28, 18, 49], [-7, -56, 17]]
[7.61, 'move', [-46, -5, -37], [-37, 18, 43], [-7, -56, 17]]
[7.63, 'move', [-39, -8, -44], [-44, 17, 36], [-7, -56, 17]]
[7.66, 'move', [-30, -11, -50], [-50, 15, 27], [-7, -56, 17]]
[7.69, 'move', [-21, -13, -54], [-55, 13, 18], [-7, -56, 17]]
[7.70, 'move', [-11, -15, -56], [-58, 10, 9], [-7, -56, 17]]
[7.81, 'turn', 'D1']
[8.09, 'turn', 'F3']
[8.22, 'turn', 'F3']
[8.41, 'move', [-21, -13, -54], [-55, 13, 18], [-7, -56, 17]]
[8.44, 'move', [-30, -11, -50], [-50, 15, 27], [-7, -56, 17]]
[8.45, 'move', [-39, -8, -44], [-44, 17, 36], [-7, -56, 17]]
[8.48, 'move', [-46, -5, -37], [-37, 18, 43], [-7, -56, 17]]
[8.52, 'move', [-52, -1, -29], [-28, 18, 49], [-7, -56, 17]]
[8.53, 'move', [-56, 1, -20], [-19, 19, 53], [-7, -56, 17]]
[8.56, 'move', [-58, 4, -10], [-8, 18, 56], [-7, -56, 17]]
[8.70, 'move', [-59, 7, 0], [1, 17, 57], [-7, -56, 17]]
[8.73, 'move', [-58, 10, 9], [11, 15, 56], [-7, -56, 17]]
[8.77, 'move', [-55, 13, 18], [21, 13, 54], [-7, -56, 17]]
[8.78, 'move', [-50, 15, 27], [30, 11, 50], [-7, -56, 17]]
[9.36, 'move', [-55, 13, 18], [21, 13, 54], [-7, -56, 17]]
[9.39, 'move', [-58, 10, 9], [11, 15, 56], [-7, -56, 17]]
[9.42, 'move', [-59, 7, 0], [1, 17, 57], [-7, -56, 17]]
[9.44, 'move', [-58, 4, -10], [-8, 18, 56], [-7, -56, 17]]
[9.61, 'turn', 'R3']
[9.91, 'move', [-56, 1, -20], [-19, 19, 53], [-7, -56, 17]]
[9.94, 'move', [-52, -1, -29], [-28, 18, 49], [-7, -56, 17]]
[9.95, 'move', [-46, -5, -37], [-37, 18, 43], [-7, -56, 17]]
[9.98, 'move', [-39, -8, -44], [-44, 17, 36], [-7, -56, 17]]
[10.00, 'move', [-30, -11, -50], [-50, 15, 27], [-7, -56, 17]]
[10.03, 'move', [-21, -13, -54], [-55, 13, 18], [-7, -56, 17]]
[10.06, 'move', [-11, -15, -56], [-58, 10, 9], [-7, -56, 17]]
[10.08, 'move', [-1, -17, -57], [-59, 7, 0], [-7, -56, 17]]
[10.11, 'move', [8, -18, -56], [-58, 4, -10], [-7, -56, 17]]
[10.28, 'turn', 'U1']
[10.42, 'turn', 'F1']
[10.59, 'turn', 'F1']
[10.77, 'turn', 'U3']
[11.30, 'move', [-1, -17, -57], [-59, 7, 0], [-7, -56, 17]]
[11.33, 'move', [-11, -15, -56], [-58, 10, 9], [-7, -56, 17]]
[11.36, 'move', [-21, -13, -54], [-55, 13, 18], [-7, -56, 17]]
[11.38, 'move', [-30, -11, -50], [-50, 15, 27], [-7, -56, 17]]
[11.41, 'move', [-39, -8, -44], [-44, 17, 36], [-7, -56, 17]]
[11.44, 'move', [-46, -5, -37], [-37, 18, 43], [-7, -56, 17]]
[11.45, 'move', [-52, -1, -29], [-28, 18, 49], [-7, -56, 17]]
[11.48, 'move', [-56, 1, -20], [-19, 19, 53], [-7, -56, 17]]
[11.50, 'move', [-58, 4, -10], [-8, 18, 56], [-7, -56, 17]]
[11.72, 'turn', 'L3']
[11.89, 'turn', 'F1']
[12.05, 'turn', 'L1']
[12.19, 'turn', 'F1']
[12.89, 'turn', 'F3']
[13.09, 'move', [-58, 4, -10], [-7, 28, 52], [-9, -52, 26]]
[13.13, 'move', [-58, 4, -10], [-5, 36, 47], [-10, -47, 35]]
[13.14, 'move', [-58, 4, -10], [-3, 44, 40], [-11, -40, 43]]
[13.17, 'move', [-58, 4, -10], [-1, 50, 32], [-11, -31, 49]]
[13.20, 'move', [-58, 4, -10], [0, 55, 22], [-11, -22, 54]]
[13.41, 'move', [-58, 4, -10], [2, 58, 13], [-11, -12, 57]]
[13.44, 'move', [-58, 4, -10], [4, 59, 2], [-11, -2, 58]]
[13.45, 'move', [-58, 4, -10], [6, 59, -7], [-10, 8, 58]]
[13.48, 'move', [-58, 4, -10], [7, 56, -17], [-8, 18, 56]]
[13.73, 'move', [-58, 4, -10], [9, 52, -26], [-7, 28, 52]]
[13.86, 'move', [-59, 9, -1], [9, 52, -26], [2, 26, 53]]
[13.89, 'move', [-57, 14, 7], [9, 52, -26], [13, 24, 53]]
[13.92, 'move', [-54, 18, 16], [9, 52, -26], [22, 21, 50]]
[13.94, 'move', [-49, 21, 25], [9, 52, -26], [32, 18, 47]]
[14.19, 'move', [-54, 18, 16], [9, 52, -26], [22, 21, 50]]
[14.22, 'move', [-57, 14, 7], [9, 52, -26], [13, 24, 53]]
[14.25, 'move', [-59, 9, -1], [9, 52, -26], [2, 26, 53]]
[14.27, 'move', [-58, 4, -10], [9, 52, -26], [-7, 28, 52]]
[15.36, 'turn', 'R1']
[15.78, 'turn', 'D3']
[16.05, 'move', [-56, 0, -19], [9, 52, -26], [-17, 28, 49]]
[16.08, 'move', [-52, -5, -28], [9, 52, -26], [-27, 27, 45]]
[16.11, 'move', [-47, -9, -35], [9, 52, -26], [-35, 26, 40]]
[16.13, 'move', [-40, -14, -42], [9, 52, -26], [-43, 24, 33]]
[16.34, 'move', [-47, -9, -35], [9, 52, -26], [-35, 26, 40]]
[16.36, 'move', [-52, -5, -28], [9, 52, -26], [-27, 27, 45]]
[16.39, 'move', [-56, 0, -19], [9, 52, -26], [-17, 28, 49]]
[16.42, 'move', [-58, 4, -10], [9, 52, -26], [-7, 28, 52]]
[16.44, 'move', [-59, 9, -1], [9, 52, -26], [2, 26, 53]]
[16.47, 'move', [-57, 14, 7], [9, 52, -26], [13, 24, 53]]
[16.50, 'move', [-54, 18, 16], [9, 52, -26], [22, 21, 50]]
[16.81, 'move', [-57, 14, 7], [9, 52, -26], [13, 24, 53]]
[16.83, 'move', [-59, 9, -1], [9, 52, -26], [2, 26, 53]]
[16.86, 'move', [-58, 4, -10], [9, 52, -26], [-7, 28, 52]]
[16.88, 'move', [-56, 0, -19], [9, 52, -26], [-17, 28, 49]]
[16.91, 'move', [-52, -5, -28], [9, 52, -26], [-27, 27, 45]]
[16.94, 'move', [-47, -9, -35], [9, 52, -26], [-35, 26, 40]]
[16.95, 'move', [-40, -14, -42], [9, 52, -26], [-43, 24, 33]]
[16.98, 'move', [-32, -18, -47], [9, 52, -26], [-49, 21, 25]]
[17.02, 'move', [-22, -21, -50], [9, 52, -26], [-54, 18, 16]]
[17.03, 'move', [-13, -24, -53], [9, 52, -26], [-57, 14, 7]]
[17.06, 'move', [-2, -26, -53], [9, 52, -26], [-59, 9, -1]]
[17.13, 'turn', 'D3']
[17.39, 'turn', 'B3']
[17.55, 'turn', 'D3']
[17.72, 'turn', 'B1']
[18.00, 'turn', 'R1']
[18.25, 'turn', 'B3']
[18.39, 'turn', 'D3']
[18.52, 'turn', 'D3']
[18.59, 'turn', 'B1']
[18.70, 'turn', 'D1']
[18.97, 'move', [-13, -24, -53], [9, 52, -26], [-57, 14, 7]]
[18.98, 'move', [-22, -21, -50], [9, 52, -26], [-54, 18, 16]]
[19.02, 'move', [-32, -18, -47], [9, 52, -26], [-49, 21, 25]]
[19.03, 'move', [-40, -14, -42], [9, 52, -26], [-43, 24, 33]]
[19.06, 'move', [-47, -9, -35], [9, 52, -26], [-35, 26, 40]]
[19.09, 'move', [-52, -5, -28], [9, 52, -26], [-27, 27, 45]]
[19.11, 'move', [-56, 0, -19], [9, 52, -26], [-17, 28, 49]]
[19.14, 'move', [-58, 4, -10], [9, 52, -26], [-7, 28, 52]]
[19.17, 'move', [-59, 9, -1], [9, 52, -26], [2, 26, 53]]
[19.52, 'move', [-57, 14, 7], [9, 52, -26], [13, 24, 53]]
[19.55, 'move', [-54, 18, 16], [9, 52, -26], [22, 21, 50]]
[19.58, 'move', [-49, 21, 25], [9, 52, -26], [32, 18, 47]]
[19.59, 'move', [-43, 24, 33], [9, 52, -26], [40, 14, 42]]
[19.63, 'move', [-35, 26, 40], [9, 52, -26], [47, 9, 35]]
[19.66, 'move', [-27, 27, 45], [9, 52, -26], [52, 5, 28]]
[19.75, 'move', [-35, 26, 40], [9, 52, -26], [47, 9, 35]]
[19.78, 'move', [-43, 24, 33], [9, 52, -26], [40, 14, 42]]
[19.81, 'move', [-49, 21, 25], [9, 52, -26], [32, 18, 47]]
[19.83, 'move', [-54, 18, 16], [9, 52, -26], [22, 21, 50]]
[19.86, 'move', [-57, 14, 7], [9, 52, -26], [13, 24, 53]]
[19.89, 'move', [-59, 9, -1], [9, 52, -26], [2, 26, 53]]
[19.91, 'move', [-58, 4, -10], [9, 52, -26], [-7, 28, 52]]
[19.94, 'move', [-56, 0, -19], [9, 52, -26], [-17, 28, 49]]
[20.00, 'turn', 'R3']
[20.14, 'move', [-52, -5, -28], [9, 52, -26], [-27, 27, 45]]
[20.16, 'move', [-47, -9, -35], [9, 52, -26], [-35, 26, 40]]
[20.19, 'move', [-40, -14, -42], [9, 52, -26], [-43, 24, 33]]
[20.20, 'move', [-32, -18, -47], [9, 52, -26], [-49, 21, 25]]
[20.23, 'move', [-22, -21, -50], [9, 52, -26], [-54, 18, 16]]
[20.27, 'move', [-13, -24, -53], [9, 52, -26], [-57, 14, 7]]
[20.28, 'move', [-2, -26, -53], [9, 52, -26], [-59, 9, -1]]
[20.31, 'move', [7, -28, -52], [9, 52, -26], [-58, 4, -10]]
[20.34, 'move', [17, -28, -49], [9, 52, -26], [-56, 0, -19]]
[20.67, 'move', [7, -28, -52], [9, 52, -26], [-58, 4, -10]]
[20.70, 'move', [-2, -26, -53], [9, 52, -26], [-59, 9, -1]]
[20.89, 'turn', 'F1']
[21.02, 'turn', 'D1']
[21.14, 'turn', 'D1']
[21.27, 'turn', 'F3']
[21.58, 'move', [-4, -35, -48], [8, 47, -35], [-59, 9, -1]]
[21.61, 'move', [-5, -43, -41], [7, 40, -43], [-59, 9, -1]]
[21.64, 'move', [-7, -49, -32], [6, 32, -50], [-59, 9, -1]]
[21.66, 'move', [-8, -54, -23], [5, 23, -55], [-59, 9, -1]]
[21.69, 'move', [-8, -57, -13], [3, 13, -58], [-59, 9, -1]]
[21.72, 'move', [-9, -59, -3], [2, 3, -59], [-59, 9, -1]]
[21.73, 'move', [-9, -58, 6], [0, -7, -59], [-59, 9, -1]]
[21.77, 'move', [-9, -56, 17], [-1, -17, -57], [-59, 9, -1]]
[21.89, 'move', [-9, -56, 17], [9, -18, -56], [-58, 6, -11]]
[21.92, 'move', [-9, -56, 17], [19, -19, -53], [-56, 3, -21]]
[21.94, 'move', [-9, -56, 17], [28, -19, -48], [-51, 0, -30]]
[21.97, 'move', [-9, -56, 17], [37, -19, -42], [-46, -3, -38]]
[22.00, 'move', [-9, -56, 17], [44, -18, -35], [-38, -7, -45]]
[22.19, 'turn', 'R3']
[22.39, 'move', [-9, -56, 17], [37, -19, -42], [-46, -3, -38]]
[22.42, 'move', [-9, -56, 17], [28, -19, -48], [-51, 0, -30]]
[22.45, 'move', [-9, -56, 17], [19, -19, -53], [-56, 3, -21]]
[22.47, 'move', [-9, -56, 17], [9, -18, -56], [-58, 6, -11]]
[22.50, 'move', [-9, -56, 17], [-1, -17, -57], [-59, 9, -1]]
[22.63, 'turn', 'B1']
[22.83, 'turn', 'R1']
[23.36, 'turn', 'B3']
[23.47, 'move', [-9, -56, 17], [9, -18, -56], [-58, 6, -11]]
